survey_id,customer_key,survey_date,nps_score,category,comment
125,17074,2025-09-28,7,Gesamtzufriedenheit,Könnte besser sein
126,540,2024-07-03,9,Kundenservice,Schnelle Hilfe erhalten
127,964,2025-07-11,8,Preis-Leistung,Etwas teuer
128,19038,2025-02-26,8,Preis-Leistung,Preis ist okay
129,7141,2024-11-09,8,Kundenservice,Musste mehrfach anrufen
130,11929,2024-06-01,9,App & Digital,Verbrauch immer im Blick
131,2289,2024-10-27,7,Produkt,
132,3356,2024-10-01,8,Produkt,
133,13036,2025-10-05,9,Kundenservice,Problemlos gelöst
134,9588,2025-01-13,10,Installation,Schnell und sauber
135,1909,2025-08-12,7,App & Digital,Funktioniert meistens
136,16543,2024-05-08,10,Produkt,
137,3712,2024-07-31,3,Gesamtzufriedenheit,Erwartungen nicht erfüllt
138,17918,2024-09-13,9,App & Digital,Übersichtliches Portal
139,15356,2024-12-03,3,App & Digital,Keine Echtzeit-Daten
140,17276,2024-06-05,1,App & Digital,
141,2689,2024-06-12,6,Gesamtzufriedenheit,Schlechte Erfahrung
142,19112,2024-11-10,8,Produkt,Leistung könnte besser sein
143,17998,2024-03-02,8,Installation,Kleine Verzögerung
144,12102,2025-10-09,0,Gesamtzufriedenheit,Bin enttäuscht
145,18139,2025-10-10,9,Preis-Leistung,Günstiger als erwartet
146,6139,2025-12-09,5,Kundenservice,Keine Lösung erhalten
147,3431,2025-10-08,9,Installation,Termingerecht fertig
148,4793,2025-05-06,9,Gesamtzufriedenheit,
149,15514,2025-02-08,9,App & Digital,Einfache Bedienung
150,10993,2025-10-03,9,Preis-Leistung,Günstiger als erwartet
151,701,2025-05-17,9,Preis-Leistung,Gutes Preis-Leistungs-Verhältnis
152,788,2024-07-01,9,Gesamtzufriedenheit,Top Anbieter
153,13800,2024-12-29,9,Installation,Schnell und sauber
154,7366,2025-11-28,8,App & Digital,App stürzt manchmal ab
155,2026,2024-11-27,8,Gesamtzufriedenheit,Nichts Besonderes
156,7155,2025-06-29,10,Produkt,Wärmepumpe spart enorm
157,19940,2025-07-05,8,Produkt,
158,462,2025-02-18,7,App & Digital,App stürzt manchmal ab
159,14341,2024-02-16,8,Gesamtzufriedenheit,
160,14523,2025-04-23,10,Installation,
161,4428,2024-04-15,8,Gesamtzufriedenheit,
162,11693,2025-07-17,9,Kundenservice,
163,10973,2024-04-28,7,Produkt,Leistung könnte besser sein
164,8297,2025-12-08,9,Installation,
165,3791,2024-09-08,4,Gesamtzufriedenheit,Erwartungen nicht erfüllt
166,11751,2024-05-09,7,Installation,"War okay, nichts Besonderes"
167,7037,2025-10-13,9,Gesamtzufriedenheit,
168,11586,2025-07-25,7,Kundenservice,Lange Wartezeit am Telefon
169,8327,2024-03-20,5,Kundenservice,Unfreundlich am Telefon
170,8292,2024-11-29,2,Produkt,Defekt nach kurzer Zeit
171,16772,2024-04-08,8,Installation,Kleine Verzögerung
172,14758,2024-11-05,10,Installation,Handwerker sehr professionell
173,2487,2025-06-19,9,Kundenservice,
174,15358,2024-10-16,9,App & Digital,
175,10633,2025-09-30,7,App & Digital,App stürzt manchmal ab
176,5732,2024-08-08,10,Preis-Leistung,
177,16082,2025-03-21,8,Produkt,Ganz okay
178,3841,2025-05-24,8,App & Digital,Funktioniert meistens
179,13687,2025-07-24,8,App & Digital,App stürzt manchmal ab
180,12437,2024-07-31,8,Installation,
181,1034,2024-08-03,0,Installation,Termin dreimal verschoben
182,17438,2024-07-13,8,Produkt,Funktioniert wie erwartet
183,5134,2025-08-01,9,Kundenservice,
184,14306,2024-07-25,8,Kundenservice,
185,19628,2024-08-17,4,Gesamtzufriedenheit,
186,4127,2024-07-08,8,Installation,Kleine Verzögerung
187,11892,2025-08-08,8,App & Digital,
188,955,2024-04-12,7,Kundenservice,Lange Wartezeit am Telefon
189,8467,2024-09-22,10,Preis-Leistung,Fairer Preis
190,16382,2024-04-11,5,Installation,Chaos bei der Installation
191,19264,2024-12-30,0,App & Digital,
192,17336,2024-11-28,10,App & Digital,
193,8153,2025-01-13,9,Gesamtzufriedenheit,Sehr zufrieden mit EPOWER
194,3641,2025-11-29,9,Produkt,Solaranlage läuft einwandfrei
195,7463,2025-01-22,4,App & Digital,Login funktioniert nicht
196,15513,2025-02-22,7,Produkt,Leistung könnte besser sein
197,16484,2025-03-28,9,Kundenservice,
198,1848,2025-03-19,7,Gesamtzufriedenheit,
199,9433,2024-07-10,9,Installation,Installation top organisiert
200,2221,2025-10-04,8,Installation,
201,5567,2024-12-12,1,App & Digital,
202,8278,2024-07-19,8,App & Digital,
203,5771,2024-05-12,3,Kundenservice,
204,6850,2025-11-07,7,Produkt,
205,12632,2025-02-11,7,App & Digital,
206,10782,2025-01-18,1,Produkt,
207,2816,2025-03-12,6,Produkt,Defekt nach kurzer Zeit
208,16479,2024-04-14,9,Installation,Termingerecht fertig
209,5633,2024-06-23,7,Preis-Leistung,Etwas teuer
210,1584,2024-12-25,9,Preis-Leistung,
211,18654,2024-02-23,9,Kundenservice,
212,13526,2025-10-27,4,Produkt,Störungen häufig
213,3469,2024-04-20,8,Kundenservice,Musste mehrfach anrufen
214,19948,2024-03-30,8,Gesamtzufriedenheit,
215,18856,2025-12-09,7,Installation,Kleine Verzögerung
216,16329,2025-06-18,7,Installation,Kleine Verzögerung
217,9524,2024-06-30,7,Installation,Kleine Verzögerung
218,15777,2025-01-22,9,Preis-Leistung,Preis stimmt
219,215,2024-12-26,3,Kundenservice,
220,6324,2025-06-19,0,Preis-Leistung,Preiserhöhung nicht akzeptabel
221,12979,2025-01-16,3,App & Digital,Sehr langsam
222,8030,2025-06-09,0,Preis-Leistung,Preiserhöhung nicht akzeptabel
223,13133,2025-02-21,3,Installation,Termin dreimal verschoben
224,9813,2025-07-21,7,Kundenservice,Lange Wartezeit am Telefon
225,10967,2025-03-31,6,Kundenservice,
226,9541,2025-06-14,6,Installation,
227,841,2024-02-15,9,Produkt,Solaranlage läuft einwandfrei
228,8882,2024-10-07,2,Kundenservice,
229,11290,2025-06-22,7,Kundenservice,Musste mehrfach anrufen
230,3183,2025-02-07,5,Gesamtzufriedenheit,
231,16151,2024-10-22,4,App & Digital,Sehr langsam
232,4842,2024-08-28,9,App & Digital,Einfache Bedienung
233,2101,2025-02-09,10,Gesamtzufriedenheit,Alles bestens
234,12753,2024-02-05,4,App & Digital,
235,19659,2024-01-30,8,Gesamtzufriedenheit,Durchschnittlich
236,3128,2025-04-11,0,App & Digital,App nicht nutzbar
237,17763,2024-06-04,9,Installation,
238,10331,2025-12-13,8,Gesamtzufriedenheit,Im Großen und Ganzen okay
239,699,2024-10-18,9,Preis-Leistung,Preis stimmt
240,19875,2024-03-24,5,Installation,
241,14097,2025-11-01,4,Kundenservice,Beschwerde ignoriert
242,16448,2025-12-21,7,Gesamtzufriedenheit,
243,11857,2024-06-11,2,Gesamtzufriedenheit,Bin enttäuscht
244,5285,2025-04-08,7,Preis-Leistung,Vergleichbar mit anderen
245,10035,2025-04-30,10,Installation,Handwerker sehr professionell
246,16749,2024-05-06,5,Installation,
247,3506,2024-12-04,5,Gesamtzufriedenheit,Erwartungen nicht erfüllt
248,15419,2025-03-13,9,Preis-Leistung,
249,5236,2024-11-30,7,Installation,
250,4175,2024-03-14,6,Kundenservice,Niemand erreichbar
251,4883,2025-08-16,7,App & Digital,
252,18352,2024-04-20,7,Produkt,
253,14155,2025-11-29,0,Gesamtzufriedenheit,
254,17591,2025-12-26,10,Gesamtzufriedenheit,
255,15821,2024-04-13,8,Installation,
256,12391,2024-12-07,2,Kundenservice,
257,14862,2024-09-12,8,Produkt,
258,9423,2024-01-23,9,App & Digital,
259,15624,2024-12-05,8,Kundenservice,Service war in Ordnung
260,13009,2024-02-17,8,Produkt,
261,9310,2024-05-24,8,App & Digital,
262,8999,2024-06-05,10,Preis-Leistung,
263,12837,2024-09-19,0,Kundenservice,Beschwerde ignoriert
264,1672,2025-08-31,7,Installation,Hat etwas gedauert
265,2230,2025-05-13,5,Preis-Leistung,Preiserhöhung nicht akzeptabel
266,19617,2025-01-18,9,Produkt,Smart Meter sehr nützlich
267,19786,2024-11-20,6,Produkt,
268,4964,2024-10-04,9,Installation,Installation top organisiert
269,3377,2025-10-20,9,App & Digital,Übersichtliches Portal
270,6441,2024-02-02,3,Kundenservice,Beschwerde ignoriert
271,16151,2025-10-25,2,Produkt,Nicht wie versprochen
272,4013,2025-04-14,10,Preis-Leistung,
273,7775,2025-04-08,10,Kundenservice,Schnelle Hilfe erhalten
274,6612,2024-12-23,10,Gesamtzufriedenheit,
275,2625,2024-05-15,8,Produkt,Leistung könnte besser sein
276,10989,2025-12-12,10,Produkt,
277,9538,2024-07-13,8,Preis-Leistung,
278,1794,2024-04-07,9,Produkt,Solaranlage läuft einwandfrei
279,14901,2024-06-22,10,Produkt,
280,16111,2025-03-31,10,App & Digital,
281,19564,2025-06-04,0,Produkt,
282,17358,2024-07-04,10,Kundenservice,
283,8535,2024-01-03,1,Preis-Leistung,Nicht transparent
284,14337,2025-08-11,9,Kundenservice,Kompetente Beratung
285,12381,2025-03-09,8,Gesamtzufriedenheit,Nichts Besonderes
286,10891,2025-03-03,6,Preis-Leistung,Preiserhöhung nicht akzeptabel
287,8017,2024-03-02,9,Gesamtzufriedenheit,
288,3228,2024-12-05,9,Installation,Handwerker sehr professionell
289,7227,2024-10-14,8,Produkt,
290,18043,2025-06-25,9,App & Digital,
291,5788,2025-03-17,10,Kundenservice,Schnelle Hilfe erhalten
292,11449,2024-10-13,4,App & Digital,Login funktioniert nicht
293,5437,2025-10-15,8,Installation,
294,5177,2024-05-29,8,Kundenservice,
295,6021,2024-05-23,8,Installation,Kleine Verzögerung
296,4474,2024-08-04,8,App & Digital,App stürzt manchmal ab
297,2637,2025-08-13,3,App & Digital,
298,13321,2024-03-30,10,Installation,
299,6001,2024-12-28,8,Preis-Leistung,
300,8041,2024-08-28,7,Kundenservice,
301,11471,2025-03-19,7,Produkt,Funktioniert wie erwartet
302,6007,2025-03-04,5,Installation,
303,5869,2024-01-22,0,Kundenservice,
304,14383,2025-02-27,9,Kundenservice,Problemlos gelöst
305,2149,2025-07-19,10,Produkt,Wärmepumpe spart enorm
306,5208,2025-07-27,9,Kundenservice,Problemlos gelöst
307,19489,2025-10-08,7,Gesamtzufriedenheit,Durchschnittlich
308,13494,2024-05-08,6,Installation,Nachbesserung nötig
309,4925,2024-11-06,6,Kundenservice,Niemand erreichbar
310,3062,2025-02-25,2,Produkt,Defekt nach kurzer Zeit
311,18230,2025-05-24,4,Installation,
312,942,2025-11-30,1,App & Digital,
313,6258,2025-03-25,5,Gesamtzufriedenheit,Erwartungen nicht erfüllt
314,358,2025-04-23,8,App & Digital,
315,5691,2024-06-03,0,App & Digital,
316,9127,2025-11-21,9,App & Digital,
317,16538,2025-02-26,10,Kundenservice,Problemlos gelöst
318,14691,2024-11-17,3,Preis-Leistung,
319,3196,2024-11-19,10,Preis-Leistung,
320,19054,2025-03-15,0,Kundenservice,
321,4797,2025-05-22,3,App & Digital,Login funktioniert nicht
322,3718,2025-10-11,10,Preis-Leistung,Preis stimmt
323,10733,2024-05-06,4,Preis-Leistung,
324,16994,2024-09-25,2,App & Digital,
325,10157,2024-09-26,5,Installation,Nachbesserung nötig
326,2392,2024-11-09,8,Gesamtzufriedenheit,Im Großen und Ganzen okay
327,692,2025-03-30,9,Gesamtzufriedenheit,Sehr zufrieden mit EPOWER
328,19349,2024-10-06,1,App & Digital,Login funktioniert nicht
329,5799,2024-12-04,4,App & Digital,Sehr langsam
330,18466,2024-01-28,7,Produkt,Leistung könnte besser sein
331,10151,2024-07-25,10,Preis-Leistung,Preis stimmt
332,16333,2024-04-20,5,Produkt,
333,6766,2025-12-30,7,Kundenservice,
334,5615,2025-11-22,8,Produkt,Funktioniert wie erwartet
335,10209,2025-10-29,5,Gesamtzufriedenheit,Erwartungen nicht erfüllt
336,3323,2025-03-27,9,Produkt,
337,18820,2025-09-09,1,Kundenservice,Beschwerde ignoriert
338,4063,2024-06-25,10,App & Digital,Verbrauch immer im Blick
339,19692,2024-06-10,9,App & Digital,Einfache Bedienung
340,7983,2024-08-22,9,Kundenservice,Problemlos gelöst
341,18368,2025-03-18,6,Produkt,Qualität mangelhaft
342,18527,2025-03-08,9,Preis-Leistung,Preis stimmt
343,4827,2024-08-19,8,Kundenservice,Service war in Ordnung
344,19165,2025-10-12,8,App & Digital,
345,11718,2025-09-07,8,Installation,
346,9145,2025-04-13,8,Kundenservice,
347,7106,2025-04-19,10,Kundenservice,
348,19458,2025-09-18,5,Produkt,
349,18026,2025-11-16,8,Produkt,Ganz okay
350,8368,2025-05-21,1,App & Digital,
351,745,2024-09-19,4,Produkt,
352,19389,2024-07-19,8,App & Digital,
353,8943,2024-11-18,5,Produkt,Defekt nach kurzer Zeit
354,17090,2025-09-23,9,Produkt,
355,6766,2024-05-13,5,Kundenservice,
356,16525,2024-04-02,10,Kundenservice,
357,4270,2024-12-17,5,Preis-Leistung,Zu teuer
358,14225,2024-11-29,7,Installation,
359,11552,2024-01-12,10,App & Digital,
360,17481,2024-09-18,7,Installation,
361,13671,2024-08-01,9,Produkt,Smart Meter sehr nützlich
362,18472,2024-01-08,9,Preis-Leistung,Günstiger als erwartet
363,7382,2024-10-19,9,Kundenservice,Sehr freundliche Mitarbeiter
364,16797,2024-11-24,9,App & Digital,
365,7619,2024-02-28,7,Gesamtzufriedenheit,
366,10090,2024-04-08,9,Produkt,Smart Meter sehr nützlich
367,1176,2025-01-01,8,App & Digital,App stürzt manchmal ab
368,16998,2025-12-12,10,App & Digital,
369,4191,2024-09-27,7,App & Digital,Funktioniert meistens
370,13056,2025-08-23,10,Kundenservice,Problemlos gelöst
371,14772,2024-02-09,7,Preis-Leistung,
372,16284,2024-11-13,9,Produkt,Smart Meter sehr nützlich
373,1452,2025-05-21,7,Gesamtzufriedenheit,
374,9633,2025-12-18,6,Kundenservice,Beschwerde ignoriert
375,7063,2024-03-10,8,Preis-Leistung,Vergleichbar mit anderen
376,11341,2025-09-06,10,Kundenservice,
377,14348,2025-11-21,10,Preis-Leistung,Günstiger als erwartet
378,7090,2024-09-18,8,Kundenservice,Lange Wartezeit am Telefon
379,11056,2025-08-07,1,Preis-Leistung,Preiserhöhung nicht akzeptabel
380,7611,2025-05-17,9,App & Digital,Verbrauch immer im Blick
381,10637,2024-03-08,0,Kundenservice,
382,4847,2024-12-31,1,Gesamtzufriedenheit,
383,18896,2025-11-07,5,Installation,
384,3095,2024-02-13,10,App & Digital,Einfache Bedienung
385,5950,2025-07-03,10,Preis-Leistung,Günstiger als erwartet
386,6909,2024-06-21,5,Gesamtzufriedenheit,
387,15314,2024-01-18,9,Produkt,Smart Meter sehr nützlich
388,19944,2024-12-05,9,Installation,Schnell und sauber
389,4813,2025-10-22,7,Produkt,Ganz okay
390,8594,2024-07-01,9,Gesamtzufriedenheit,
391,14795,2025-05-22,9,Preis-Leistung,Gutes Preis-Leistungs-Verhältnis
392,19681,2024-07-18,9,Installation,Installation top organisiert
393,11911,2024-10-22,4,Preis-Leistung,Nicht transparent
394,3897,2024-12-05,7,Installation,
395,7591,2025-05-07,8,Produkt,Leistung könnte besser sein
396,17283,2025-07-08,0,Produkt,Defekt nach kurzer Zeit
397,13952,2024-01-15,0,Preis-Leistung,
398,4651,2025-04-09,7,Produkt,Funktioniert wie erwartet
399,6661,2024-07-02,9,Kundenservice,Sehr freundliche Mitarbeiter
400,13751,2024-05-04,8,Gesamtzufriedenheit,Könnte besser sein
401,3185,2024-10-26,9,App & Digital,
402,5120,2024-07-08,0,Installation,Nachbesserung nötig
403,14519,2024-04-27,7,App & Digital,
404,9492,2025-12-24,10,Gesamtzufriedenheit,Kann ich nur weiterempfehlen
405,6836,2025-10-17,10,Preis-Leistung,
406,10384,2025-02-16,10,Kundenservice,
407,14849,2024-10-05,9,Installation,Handwerker sehr professionell
408,131,2024-07-11,8,Installation,Hat etwas gedauert
409,5932,2024-01-05,3,Produkt,Nicht wie versprochen
410,2338,2024-10-01,4,Installation,
411,8399,2025-07-25,7,Preis-Leistung,Etwas teuer
412,16850,2024-01-08,6,Gesamtzufriedenheit,Bin enttäuscht
413,2407,2025-06-03,5,Produkt,Qualität mangelhaft
414,12629,2025-03-10,8,Installation,
415,19792,2025-03-12,0,Kundenservice,Beschwerde ignoriert
416,4811,2025-04-01,10,Kundenservice,
417,9413,2024-10-07,7,Produkt,
418,9904,2025-04-26,7,Kundenservice,
419,16567,2024-02-01,9,Gesamtzufriedenheit,
420,13499,2025-12-29,8,Gesamtzufriedenheit,Nichts Besonderes
421,16969,2024-10-30,3,Kundenservice,
422,18269,2024-06-27,1,Gesamtzufriedenheit,Erwartungen nicht erfüllt
423,2058,2025-06-24,9,App & Digital,
424,16296,2024-08-23,8,App & Digital,
425,13132,2024-04-14,8,Preis-Leistung,Vergleichbar mit anderen
426,18104,2024-10-17,8,Gesamtzufriedenheit,Im Großen und Ganzen okay
427,5402,2024-03-23,5,Produkt,Qualität mangelhaft
428,7845,2025-12-20,7,Kundenservice,
429,2771,2025-06-01,6,Produkt,
430,3883,2024-12-08,8,Installation,Hat etwas gedauert
431,5289,2024-09-15,10,Produkt,Solaranlage läuft einwandfrei
432,13732,2025-05-02,3,Produkt,Qualität mangelhaft
433,6496,2025-12-11,8,App & Digital,Funktioniert meistens
434,12014,2025-01-10,8,App & Digital,App stürzt manchmal ab
435,12166,2024-07-27,9,Gesamtzufriedenheit,
436,11629,2024-09-16,10,App & Digital,Verbrauch immer im Blick
437,2913,2024-02-01,7,App & Digital,App stürzt manchmal ab
438,8044,2024-11-15,2,App & Digital,Keine Echtzeit-Daten
439,15921,2024-08-10,8,Preis-Leistung,
440,10316,2024-01-26,10,App & Digital,Übersichtliches Portal
441,9310,2025-10-24,4,App & Digital,
442,7983,2024-07-26,8,Kundenservice,
443,3585,2025-06-09,8,Kundenservice,Service war in Ordnung
444,3909,2025-10-16,5,Produkt,
445,18509,2025-08-24,9,App & Digital,
446,2945,2024-08-15,3,Preis-Leistung,Nicht transparent
447,14012,2025-09-23,10,Installation,Schnell und sauber
448,10980,2024-04-18,8,App & Digital,App stürzt manchmal ab
449,2686,2025-09-01,10,Gesamtzufriedenheit,
450,12077,2024-07-28,9,Installation,Installation top organisiert
451,11765,2024-09-11,8,App & Digital,
452,7622,2024-05-24,7,Produkt,Funktioniert wie erwartet
453,14589,2024-10-23,6,Kundenservice,
454,680,2024-11-30,10,Installation,
455,19682,2025-06-15,10,Preis-Leistung,Gutes Preis-Leistungs-Verhältnis
456,18871,2024-05-21,0,Installation,
457,2424,2025-03-25,10,Installation,Schnell und sauber
458,2463,2024-01-02,10,Preis-Leistung,
459,2321,2024-07-23,9,Gesamtzufriedenheit,
460,16669,2025-05-30,8,Preis-Leistung,Vergleichbar mit anderen
461,17126,2025-04-13,6,Kundenservice,Niemand erreichbar
462,2396,2025-06-04,8,Preis-Leistung,
463,4784,2024-03-18,4,Kundenservice,Niemand erreichbar
464,871,2025-05-26,10,Preis-Leistung,
465,5812,2025-01-20,3,Produkt,Störungen häufig
466,2715,2024-08-14,1,Gesamtzufriedenheit,
467,7339,2024-06-13,4,Kundenservice,
468,4953,2025-09-21,6,Kundenservice,Beschwerde ignoriert
469,8272,2025-04-02,4,Kundenservice,
470,10653,2024-04-27,10,Produkt,Wallbox perfekt installiert
471,4585,2025-12-28,9,Produkt,Wallbox perfekt installiert
472,4882,2024-11-01,0,App & Digital,Login funktioniert nicht
473,7344,2024-02-11,9,Installation,
474,13736,2025-08-31,10,Installation,Handwerker sehr professionell
475,4804,2024-01-25,6,Produkt,
476,2156,2025-12-18,4,App & Digital,
477,7095,2025-01-15,2,Preis-Leistung,Nicht transparent
478,14995,2024-05-18,8,Installation,
479,19168,2025-04-25,9,Preis-Leistung,Günstiger als erwartet
480,14544,2025-12-11,10,Installation,
481,531,2025-01-21,10,App & Digital,
482,11179,2024-12-20,7,Preis-Leistung,Preis ist okay
483,17076,2025-03-20,5,Produkt,Qualität mangelhaft
484,15862,2024-10-15,8,Gesamtzufriedenheit,Im Großen und Ganzen okay
485,9451,2025-08-27,7,Preis-Leistung,Vergleichbar mit anderen
486,4937,2025-12-02,6,Gesamtzufriedenheit,
487,8116,2025-01-09,9,Preis-Leistung,
488,3452,2024-01-24,8,Gesamtzufriedenheit,Nichts Besonderes
489,2162,2024-04-20,8,Gesamtzufriedenheit,
490,14067,2025-11-16,8,Produkt,Leistung könnte besser sein
491,13527,2025-11-08,7,Produkt,Ganz okay
492,13021,2024-02-12,10,Gesamtzufriedenheit,
493,8638,2024-12-18,6,Produkt,Defekt nach kurzer Zeit
